rebounder,player_id,rebounding_team_name,matchup,game_date,season,game_id,period,minutes,seconds,shot_type,reb_type,shot_dist,reb_dist,num_contested,shooter,shooter_player_id
"Dellavedova, Matthew",203521,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,4,0,45,"missed 2FG",Defensive,12.00,3.24,0,"Mirotic, Nikola",202703
"Thompson, Tristan",202684,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,4,0,11,"missed 2FG",Defensive,22.61,5.07,0,"Rose, Derrick",201565
"Bogut, Andrew",101106,"Golden State Warriors","OCT 27, 2015 - GSW vs. NOP",2015-10-27,2015,0021500003,1,11,47,"missed 3FG",Defensive,24.33,2.32,0,"Davis, Anthony",203076
"Barnes, Harrison",203084,"Golden State Warriors","OCT 27, 2015 - GSW vs. NOP",2015-10-27,2015,0021500003,1,10,37,"missed 2FG",Defensive,18.80,2.47,0,"Davis, Anthony",203076
"Brooks, Aaron",201166,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,5,33,"missed 3FG",Defensive,24.07,12.40,0,"Love, Kevin",201567
"Williams, Mo",2590,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,1,5,13,"missed 3FG",Defensive,24.05,9.16,0,"Moore, E'Twaun",202734
"Moore, E'Twaun",202734,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,5,04,"missed 2FG",Defensive,21.17,9.48,0,"Williams, Mo",2590
"Love, Kevin",201567,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,1,4,39,"missed 2FG",Offensive,11.21,1.90,1,"Thompson, Tristan",202684
"Noah, Joakim",201149,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,4,37,"missed 2FG",Defensive,1.45,3.32,1,"Love, Kevin",201567
"Noah, Joakim",201149,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,3,55,"missed 2FG",Defensive,13.29,2.21,1,"Dellavedova, Matthew",203521
"Thompson, Tristan",202684,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,1,3,36,"missed 2FG",Defensive,15.07,7.43,1,"Brooks, Aaron",201166
"McDermott, Doug",203926,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,3,21,"missed 2FG",Defensive,9.82,2.65,0,"Thompson, Tristan",202684
"Noah, Joakim",201149,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,3,10,"missed 2FG",Offensive,14.29,3.83,1,"Gibson, Taj",201959
"James, LeBron",2544,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,1,2,57,"missed 2FG",Defensive,23.10,10.22,0,"Snell, Tony",203503
"Butler, Jimmy",202710,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,2,01,"missed 3FG",Defensive,24.85,7.69,0,"Jones, James",2592
"Butler, Jimmy",202710,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,1,48,"missed 3FG",Defensive,22.66,5.82,0,"Jones, James",2592
"Gibson, Taj",201959,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,1,30,"missed 2FG",Offensive,22.20,5.89,0,"Rose, Derrick",201565
"Moore, E'Twaun",202734,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,1,0,31,"missed 2FG",Defensive,5.72,7.47,0,"Cunningham, Jared",203099
"Gibson, Taj",201959,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,2,11,41,"missed 2FG",Defensive,23.56,9.98,0,"Cunningham, Jared",203099
"Mozgov, Timofey",202389,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,2,10,10,"missed 3FG",Defensive,24.58,9.81,0,"Butler, Jimmy",202710
"Gibson, Taj",201959,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,2,10,06,"missed FT",Defensive,15.00,1.60,0,"James, LeBron",2544
"James, LeBron",2544,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,2,9,56,"missed 2FG",Defensive,4.52,5.72,0,"Rose, Derrick",201565
"Gibson, Taj",201959,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,2,9,48,"missed 2FG",Defensive,3.84,2.91,1,"James, LeBron",2544
"Butler, Jimmy",202710,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,2,9,43,"missed 2FG",Offensive,2.91,2.31,0,"Rose, Derrick",201565
"Gibson, Taj",201959,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,2,9,03,"missed 2FG",Defensive,2.39,2.19,1,"Love, Kevin",201567
"James, LeBron",2544,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,2,8,46,"missed 2FG",Defensive,15.91,2.83,0,"Gasol, Pau",2200
"Love, Kevin",201567,"Cleveland Cavaliers","OCT 27, 2015 - CLE @ CHI",2015-10-27,2015,0021500002,2,8,38,"missed 3FG",Offensive,25.05,5.27,1,"James, LeBron",2544
"Moore, E'Twaun",202734,"Chicago Bulls","OCT 27, 2015 - CHI vs. CLE",2015-10-27,2015,0021500002,2,8,26,"missed 2FG",Defensive,2.46,21.48,0,"James, LeBron",2544
"Davis, Anthony",203076,"New Orleans Pelicans","OCT 27, 2015 - NOP @ GSW",2015-10-27,2015,0021500003,4,9,39,"missed 2FG",Defensive,0.88,5.13,0,"Speights, Marreese",201578
"Livingston, Shaun",2733,"Golden State Warriors","OCT 27, 2015 - GSW vs. NOP",2015-10-27,2015,0021500003,2,5,09,"missed 2FG",Defensive,11.61,3.49,0,"Davis, Anthony",203076
"Barbosa, Leandro",2571,"Golden State Warriors","OCT 27, 2015 - GSW vs. NOP",2015-10-27,2015,0021500003,4,0,05,"missed 3FG",Defensive,24.14,8.52,0,"Smith, Ish",202397
"Anderson, Ryan",201583,"New Orleans Pelicans","OCT 27, 2015 - NOP @ GSW",2015-10-27,2015,0021500003,4,0,54,"missed 2FG",Offensive,9.69,3.77,1,"Ajinca, Alexis",201582
"Ajinca, Alexis",201582,"New Orleans Pelicans","OCT 27, 2015 - NOP @ GSW",2015-10-27,2015,0021500003,4,1,04,"missed 3FG",Offensive,28.14,7.51,0,"Anderson, Ryan",201583
"Anderson, Ryan",201583,"New Orleans Pelicans","OCT 27, 2015 - NOP @ GSW",2015-10-27,2015,0021500003,4,1,59,"missed 2FG",Defensive,19.67,23.04,0,"Green, Draymond",203110
"Millsap, Paul",200794,"Atlanta Hawks","OCT 27, 2015 - ATL vs. DET",2015-10-27,2015,0021500001,1,4,42,"missed 2FG",Offensive,3.99,2.07,3,"Splitter, Tiago",201168
"Sefolosha, Thabo",200757,"Atlanta Hawks","OCT 27, 2015 - ATL vs. DET",2015-10-27,2015,0021500001,1,3,53,"missed 2FG",Defensive,21.57,7.05,0,"Johnson, Stanley",1626169
"Johnson, Stanley",1626169,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,3,2,23,"missed 3FG",Defensive,25.01,12.75,0,"Schroder, Dennis",203471
"Caldwell-Pope, Kentavious",203484,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,3,1,20,"missed 3FG",Defensive,24.81,4.56,0,"Horford, Al",201143
"Johnson, Stanley",1626169,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,3,1,11,"missed 2FG",Offensive,4.84,7.51,1,"Drummond, Andre",203083
"Drummond, Andre",203083,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,3,1,09,"missed 2FG",Offensive,6.88,0.97,1,"Johnson, Stanley",1626169
"Drummond, Andre",203083,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,3,0,27,"missed 2FG",Offensive,7.06,1.09,2,"Caldwell-Pope, Kentavious",203484
"Sefolosha, Thabo",200757,"Atlanta Hawks","OCT 27, 2015 - ATL vs. DET",2015-10-27,2015,0021500001,3,0,08,"missed 3FG",Offensive,24.40,18.05,0,"Schroder, Dennis",203471
"Schroder, Dennis",203471,"Atlanta Hawks","OCT 27, 2015 - ATL vs. DET",2015-10-27,2015,0021500001,4,10,38,"missed 2FG",Defensive,20.21,2.92,0,"Meeks, Jodie",201975
"Scott, Mike",203118,"Atlanta Hawks","OCT 27, 2015 - ATL vs. DET",2015-10-27,2015,0021500001,4,10,05,"missed 2FG",Defensive,11.75,10.17,0,"Johnson, Stanley",1626169
"Bazemore, Kent",203145,"Atlanta Hawks","OCT 27, 2015 - ATL vs. DET",2015-10-27,2015,0021500001,4,9,13,"missed 3FG",Defensive,24.35,3.44,0,"Ilyasova, Ersan",101141
"Ilyasova, Ersan",101141,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,4,9,01,"missed 2FG",Defensive,18.01,2.35,0,"Schroder, Dennis",203471
"Baynes, Aron",203382,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,4,8,23,"missed 3FG",Defensive,25.19,5.75,0,"Scott, Mike",203118
"Meeks, Jodie",201975,"Detroit Pistons","OCT 27, 2015 - DET @ ATL",2015-10-27,2015,0021500001,4,8,07,"missed 3FG",Defensive,22.75,8.30,0,"Millsap, Paul",200794
