"","team","pct.play_type.cut","pct.play_type.handoff","pct.play_type.isolation","pct.play_type.misc","pct.play_type.offrebound","pct.play_type.offscreen","pct.play_type.postup","pct.play_type.prballhandler","pct.play_type.prrollman","pct.play_type.spotup","pct.play_type.transition"
"1","Atlanta Hawks",7.021,4.039,7.165,6.708,5.915,5.314,8.223,15.268,6.901,20.654,12.792
"2","Boston Celtics",7.278,4.449,7.761,7.809,6.02,4.545,9.623,15.546,6.939,18.617,11.412
"3","Brooklyn Nets",7.06,4.01,6.101,5.658,5.781,6.076,7.774,13.087,7.749,22.14,14.563
"4","Charlotte Hornets",7.858,4.472,5.584,5.988,4.396,6.165,7.731,16.397,7.933,21.88,11.597
"5","Chicago Bulls",7.4,4.465,7.893,4.489,6.315,5.081,8.017,17.76,7.77,17.662,13.148
"6","Cleveland Cavaliers",7.538,3.947,7.675,6.387,5.099,5.154,8.443,17.242,7.292,18.476,12.747
"7","Dallas Mavericks",6.747,3.797,7.013,6.312,5.175,4.764,9.674,16.397,6.36,19.903,13.857
"8","Denver Nuggets",6.903,3.934,7.892,6.63,5.171,6.705,9.822,14.77,6.061,18.902,13.211
"9","Detroit Pistons",5.988,4.811,7.617,5.563,5.588,6.014,7.216,19.845,9.897,15.284,12.177
"10","Golden State Warriors",7.744,4.356,10.094,4.955,5.877,4.079,8.804,18.299,5.992,16.524,13.275
"11","Houston Rockets",9.272,3.923,7.204,7.133,6.158,4.66,6.467,13.243,5.849,21.612,14.479
"12","Indiana Pacers",6.221,4.58,5.756,6.368,6.196,5.413,8.229,18.271,6.882,18.32,13.764
"13","Los Angeles Clippers",7.705,4.342,8.302,7.109,5.844,5.367,7.156,18.583,6.202,17.533,11.856
"14","Los Angeles Lakers",8.078,4.332,7.048,5.619,6.158,6.181,7.024,16.085,6.813,17.982,14.68
"15","Memphis Grizzlies",8.278,4.005,6.325,6.764,5.397,4.762,5.665,16.557,6.496,21.099,14.652
"16","Miami Heat",8.5,3.711,6.996,4.99,4.89,6.269,8.149,17.101,6.369,20.135,12.889
"17","Milwaukee Bucks",9.173,4.313,6.814,6.171,6.171,4.67,6.648,11.842,5.933,25.447,12.819
"18","Minnesota Timberwolves",7.492,4.524,7.054,7.006,5.473,5.06,7.322,16.614,7.054,19.971,12.43
"19","New Orleans Pelicans",7.17,4.353,8.579,6.325,5.198,5.378,7.939,17.234,8.374,18.463,10.986
"20","New York Knicks",7.443,4.922,8.259,5.186,6.555,5.666,8.427,17.791,7.707,14.982,13.061
"21","Oklahoma City Thunder",6.676,4.806,9.044,6.037,6.297,5.327,8.073,17.093,6.534,16.454,13.66
"22","Orlando Magic",8.699,3.594,6.196,5.675,5.031,4.684,5.799,14.87,6.344,25.651,13.457
"23","Philadelphia 76ers",7.505,4.223,6.289,6.931,5.026,5.44,9.272,16.778,6.725,16.066,15.745
"24","Phoenix Suns",6.671,4.581,6.648,7.141,4.604,5.097,6.131,18.229,5.708,20.46,14.729
"25","Portland Trail Blazers",6.362,4.877,6.739,6.291,5.042,5.773,9.873,17.672,7.634,17.743,11.993
"26","Sacramento Kings",7.674,3.549,7.026,6.882,5.564,5.588,7.218,14.676,6.187,20.072,15.564
"27","San Antonio Spurs",7.993,4.504,6.657,6.063,5.147,5.271,7.201,17.867,7.919,19.154,12.225
"28","Toronto Raptors",9.153,3.916,5.825,5.898,4.944,4.748,5.507,17.132,6.559,22.075,14.244
"29","Utah Jazz",7.945,3.841,7.866,6.656,5.235,5.393,6.604,16.811,7.103,19.179,13.365
"30","Washington Wizards",8.216,3.725,8.344,6.303,5.307,4.363,6.66,16.433,7.272,20.975,12.401
